Meter,ReadingDateTime,ReadingDate,E (Usage kWh),KW,KVA,PF,Quality,QualityText
All,1/1/2020 0:00,1/1/2020 0:00,9.06,36.24,36.33,0.997514197,A,Actual
All,1/1/2020 0:15,1/1/2020 0:00,9.1,36.4,36.562,0.995563997,A,Actual
All,1/1/2020 0:30,1/1/2020 0:00,9.06,36.24,36.354,0.99685704,A,Actual
All,1/1/2020 0:45,1/1/2020 0:00,9.1,36.4,36.533,0.996346638,A,Actual
All,1/1/2020 1:00,1/1/2020 0:00,8.9,35.6,35.676,0.997883142,A,Actual
All,1/1/2020 1:15,1/1/2020 0:00,8.88,35.52,35.564,0.998774589,A,Actual
All,1/1/2020 1:30,1/1/2020 0:00,9.08,36.32,36.375,0.998487424,A,Actual
All,1/1/2020 1:45,1/1/2020 0:00,9.16,36.64,36.699,0.998392599,A,Actual
All,1/1/2020 2:00,1/1/2020 0:00,8.92,35.68,35.761,0.997745286,A,Actual
All,1/1/2020 2:15,1/1/2020 0:00,8.96,35.84,35.896,0.998446613,A,Actual
All,1/1/2020 2:30,1/1/2020 0:00,9.04,36.16,36.224,0.998220539,A,Actual
All,1/1/2020 2:45,1/1/2020 0:00,8.98,35.92,35.985,0.998196743,A,Actual
All,1/1/2020 3:00,1/1/2020 0:00,9.46,37.84,37.902,0.998374739,A,Actual
All,1/1/2020 3:15,1/1/2020 0:00,9.1,36.4,36.459,0.998371338,A,Actual
All,1/1/2020 3:30,1/1/2020 0:00,9.02,36.08,36.149,0.998078257,A,Actual
All,1/1/2020 3:45,1/1/2020 0:00,10.12,40.48,40.556,0.998128509,A,Actual
All,1/1/2020 4:00,1/1/2020 0:00,9.12,36.48,36.544,0.998251691,A,Actual
All,1/1/2020 4:15,1/1/2020 0:00,8.8,35.2,35.261,0.998258719,A,Actual
All,1/1/2020 4:30,1/1/2020 0:00,9.02,36.08,36.135,0.998467154,A,Actual
All,1/1/2020 4:45,1/1/2020 0:00,8.74,34.96,35.037,0.997805456,A,Actual
All,1/1/2020 5:00,1/1/2020 0:00,8.04,32.16,32.296,0.995791111,A,Actual
All,1/1/2020 5:15,1/1/2020 0:00,7.94,31.76,31.905,0.995450266,A,Actual
All,1/1/2020 5:30,1/1/2020 0:00,7.76,31.04,31.166,0.995956174,A,Actual
All,1/1/2020 5:45,1/1/2020 0:00,8.1,32.4,32.599,0.993883628,A,Actual
All,1/1/2020 6:00,1/1/2020 0:00,8.54,34.16,34.317,0.995421817,A,Actual
All,1/1/2020 6:15,1/1/2020 0:00,8.14,32.56,32.725,0.994964368,A,Actual
All,1/1/2020 6:30,1/1/2020 0:00,8.58,34.32,34.484,0.995241862,A,Actual
All,1/1/2020 6:45,1/1/2020 0:00,9.04,36.16,36.316,0.995710679,A,Actual
All,1/1/2020 7:00,1/1/2020 0:00,8.46,33.84,33.999,0.995335395,A,Actual
All,1/1/2020 7:15,1/1/2020 0:00,8.5,34,34.174,0.994920638,A,Actual
All,1/1/2020 7:30,1/1/2020 0:00,8.92,35.68,36.168,0.986513138,A,Actual
All,1/1/2020 7:45,1/1/2020 0:00,9.24,36.96,37.67,0.981148204,A,Actual
All,1/1/2020 8:00,1/1/2020 0:00,8.96,35.84,36.3,0.987330272,A,Actual
All,1/1/2020 8:15,1/1/2020 0:00,9.08,36.32,36.468,0.99594711,A,Actual
All,1/1/2020 8:30,1/1/2020 0:00,8.94,35.76,36.113,0.99021361,A,Actual
All,1/1/2020 8:45,1/1/2020 0:00,9.5,38,38.768,0.980181757,A,Actual
