Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KVAH(ch: 2  set:0)   ,PF(ch: 3  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KVA(0(ch: 2  set:0) ,PF(0(ch: 3  set:0)  ,, PV 17.7 kW
H202014127676     ,2017/10/01 0:15,36.67,,,,146.69,,,,,10/1/17 0:15,0.08
H202014127676     ,2017/10/01 0:30,36.64,,,,146.56,,,,,10/1/17 0:30,0.08
H202014127676     ,2017/10/01 0:45,36.64,,,,146.56,,,,,10/1/17 0:45,0.08
H202014127676     ,2017/10/01 1:00,36.67,,,,146.69,,,,,10/1/17 1:00,0.08
H202014127676     ,2017/10/01 1:15,36.9,,,,147.58,,,,,10/1/17 1:15,0.09
H202014127676     ,2017/10/01 1:30,37.02,,,,148.1,,,,,10/1/17 1:30,0.09
H202014127676     ,2017/10/01 1:45,37.57,,,,150.27,,,,,10/1/17 1:45,0.09
H202014127676     ,2017/10/01 2:00,37.5,,,,150.02,,,,,10/1/17 2:00,0.09
H202014127676     ,2017/10/01 2:15,37.63,,,,150.53,,,,,10/1/17 2:15,0.09
H202014127676     ,2017/10/01 2:30,37.54,,,,150.14,,,,,10/1/17 2:30,0.1
H202014127676     ,2017/10/01 2:45,37.54,,,,150.14,,,,,10/1/17 2:45,0.1
H202014127676     ,2017/10/01 3:00,37.06,,,,148.22,,,,,10/1/17 3:00,0.1
H202014127676     ,2017/10/01 3:15,36.9,,,,147.58,,,,,10/1/17 3:15,0.1
H202014127676     ,2017/10/01 3:30,36.83,,,,147.33,,,,,10/1/17 3:30,0.11
H202014127676     ,2017/10/01 3:45,36.42,,,,145.66,,,,,10/1/17 3:45,0.11
H202014127676     ,2017/10/01 4:00,36.54,,,,146.18,,,,,10/1/17 4:00,0.11
H202014127676     ,2017/10/01 4:15,36.61,,,,146.43,,,,,10/1/17 4:15,0.11
H202014127676     ,2017/10/01 4:30,36.93,,,,147.71,,,,,10/1/17 4:30,0.12
H202014127676     ,2017/10/01 4:45,37.09,,,,148.35,,,,,10/1/17 4:45,0.12
H202014127676     ,2017/10/01 5:00,37.09,,,,148.35,,,,,10/1/17 5:00,0.12
H202014127676     ,2017/10/01 5:15,37.02,,,,148.1,,,,,10/1/17 5:15,0.12
H202014127676     ,2017/10/01 5:30,37.09,,,,148.35,,,,,10/1/17 5:30,0.12
H202014127676     ,2017/10/01 5:45,37.31,,,,149.25,,,,,10/1/17 5:45,0.13
H202014127676     ,2017/10/01 6:00,44.29,,,,177.15,,,,,10/1/17 6:00,0.13
H202014127676     ,2017/10/01 6:15,39.1,,,,156.42,,,,,10/1/17 6:15,0.13
H202014127676     ,2017/10/01 6:30,40.77,,,,163.07,,,,,10/1/17 6:30,0.13
H202014127676     ,2017/10/01 6:45,38.4,,,,153.6,,,,,10/1/17 6:45,0.14
H202014127676     ,2017/10/01 7:00,37.92,,,,151.68,,,,,10/1/17 7:00,0.2
H202014127676     ,2017/10/01 7:15,37.92,,,,151.68,,,,,10/1/17 7:15,0.8
H202014127676     ,2017/10/01 7:30,38.05,,,,152.19,,,,,10/1/17 7:30,1.52
H202014127676     ,2017/10/01 7:45,38.08,,,,152.32,,,,,10/1/17 7:45,2.35
