Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KVAH(ch: 2  set:0)   ,PF(ch: 3  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KVA(0(ch: 2  set:0) ,PF(0(ch: 3  set:0)  ,, PV 17.7 kW Rated Suniva Array ,
,,,,,,,,,,,Time/Date,kW 3p
H202010175018     ,2017/10/01 0:15,70.82,12.68,71.95,0.98,283.3,50.74,287.8,0.98,,10/1/17 0:15,0.08
H202010175018     ,2017/10/01 0:30,70.73,12.64,71.85,0.98,282.91,50.54,287.39,0.98,,10/1/17 0:30,0.08
H202010175018     ,2017/10/01 0:45,70.56,12.6,71.68,0.98,282.24,50.4,286.7,0.98,,10/1/17 0:45,0.08
H202010175018     ,2017/10/01 1:00,70.45,12.61,71.57,0.98,281.81,50.45,286.29,0.98,,10/1/17 1:00,0.08
H202010175018     ,2017/10/01 1:15,70.48,12.59,71.59,0.98,281.9,50.35,286.37,0.98,,10/1/17 1:15,0.09
H202010175018     ,2017/10/01 1:30,70.62,12.61,71.74,0.98,282.48,50.45,286.95,0.98,,10/1/17 1:30,0.09
H202010175018     ,2017/10/01 1:45,70.46,12.6,71.58,0.98,281.86,50.4,286.33,0.98,,10/1/17 1:45,0.09
H202010175018     ,2017/10/01 2:00,70.51,12.56,71.62,0.98,282.05,50.26,286.49,0.98,,10/1/17 2:00,0.09
H202010175018     ,2017/10/01 2:15,70.55,12.58,71.66,0.98,282.19,50.3,286.64,0.98,,10/1/17 2:15,0.09
H202010175018     ,2017/10/01 2:30,70.61,12.59,71.72,0.98,282.43,50.35,286.89,0.98,,10/1/17 2:30,0.1
H202010175018     ,2017/10/01 2:45,70.6,12.58,71.71,0.98,282.38,50.3,286.83,0.98,,10/1/17 2:45,0.1
H202010175018     ,2017/10/01 3:00,70.73,12.67,71.85,0.98,282.91,50.69,287.42,0.98,,10/1/17 3:00,0.1
H202010175018     ,2017/10/01 3:15,70.75,12.68,71.88,0.98,283.01,50.74,287.52,0.98,,10/1/17 3:15,0.1
H202010175018     ,2017/10/01 3:30,70.86,12.72,71.99,0.98,283.44,50.88,287.97,0.98,,10/1/17 3:30,0.11
H202010175018     ,2017/10/01 3:45,70.75,12.7,71.88,0.98,283.01,50.78,287.53,0.98,,10/1/17 3:45,0.11
H202010175018     ,2017/10/01 4:00,70.9,12.72,72.03,0.98,283.58,50.88,288.11,0.98,,10/1/17 4:00,0.11
H202010175018     ,2017/10/01 4:15,71.27,12.73,72.4,0.98,285.07,50.93,289.59,0.98,,10/1/17 4:15,0.11
H202010175018     ,2017/10/01 4:30,71.34,12.72,72.47,0.98,285.36,50.88,289.86,0.98,,10/1/17 4:30,0.12
H202010175018     ,2017/10/01 4:45,71.16,12.74,72.29,0.98,284.64,50.98,289.17,0.98,,10/1/17 4:45,0.12
H202010175018     ,2017/10/01 5:00,71.36,12.8,72.5,0.98,285.46,51.22,290.01,0.98,,10/1/17 5:00,0.12
H202010175018     ,2017/10/01 5:15,71.34,12.79,72.48,0.98,285.36,51.17,289.91,0.98,,10/1/17 5:15,0.12
H202010175018     ,2017/10/01 5:30,71.36,12.78,72.5,0.98,285.46,51.12,290,0.98,,10/1/17 5:30,0.12
