Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KWH(ch: 3  set:0)    ,KVAH(ch: 3  set:0)   ,PF(ch: 4  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KW(ch: 3  set:0)    ,KVA(0(ch: 3  set:0) ,PF(0(ch: 4  set:0)  ,, PV 17.7 kW Rated Suniva Array
H202010637868     ,2017/12/06 9:00,41.04,18,0,44.81,0.92,164.16,72,0,179.26,0.92,,2017/12/06 9:00,5.97
H202010637868     ,2017/12/06 9:15,40.77,18.18,0,44.64,0.91,163.08,72.72,0,178.56,0.91,,12/6/17 9:15,2.07
H202010637868     ,2017/12/06 9:30,40.41,18.36,0,44.39,0.91,161.64,73.44,0,177.54,0.91,,12/6/17 9:30,9.33
H202010637868     ,2017/12/06 9:45,40.68,18.27,0,44.59,0.91,162.72,73.08,0,178.38,0.91,,12/6/17 9:45,2.98
H202010637868     ,2017/12/06 10:00,40.41,18.45,0,44.42,0.91,161.64,73.8,0,177.69,0.91,,12/6/17 10:00,4.4
H202010637868     ,2017/12/06 10:15,41.13,19.08,0,45.34,0.91,164.52,76.32,0,181.36,0.91,,12/6/17 10:15,9.12
H202010637868     ,2017/12/06 10:30,41.49,18.9,0,45.59,0.91,165.96,75.6,0,182.37,0.91,,12/6/17 10:30,3.25
H202010637868     ,2017/12/06 10:45,42.75,18.63,0,46.63,0.92,171,74.52,0,186.53,0.92,,12/6/17 10:45,2.95
H202010637868     ,2017/12/06 11:00,44.01,18.81,0,47.86,0.92,176.04,75.24,0,191.44,0.92,,12/6/17 11:00,2.53
H202010637868     ,2017/12/06 11:15,45.27,18.63,0,48.95,0.92,181.08,74.52,0,195.81,0.92,,12/6/17 11:15,13.09
H202010637868     ,2017/12/06 11:30,46.26,18.9,0,49.97,0.93,185.04,75.6,0,199.89,0.93,,12/6/17 11:30,12.22
H202010637868     ,2017/12/06 11:45,45.72,18.81,0,49.44,0.92,182.88,75.24,0,197.75,0.92,,12/6/17 11:45,5.03
H202010637868     ,2017/12/06 12:00,46.71,18.63,0,50.29,0.93,186.84,74.52,0,201.15,0.93,,12/6/17 12:00,14.15
H202010637868     ,2017/12/06 12:15,47.52,18.81,0,51.11,0.93,190.08,75.24,0,204.43,0.93,,12/6/17 12:15,4.97
H202010637868     ,2017/12/06 12:30,45.9,19.08,0,49.71,0.92,183.6,76.32,0,198.83,0.92,,12/6/17 12:30,11.95
H202010637868     ,2017/12/06 12:45,45.45,19.17,0,49.33,0.92,181.8,76.68,0,197.31,0.92,,12/6/17 12:45,11.61
H202010637868     ,2017/12/06 13:00,45.09,19.26,0,49.03,0.92,180.36,77.04,0,196.12,0.92,,12/6/17 13:00,12.01
H202010637868     ,2017/12/06 13:15,45.81,19.26,0,49.69,0.92,183.24,77.04,0,198.78,0.92,,12/6/17 13:15,10.81
H202010637868     ,2017/12/06 13:30,46.44,19.53,0,50.38,0.92,185.76,78.12,0,201.52,0.92,,12/6/17 13:30,11.4
H202010637868     ,2017/12/06 13:45,45.9,19.89,0,50.02,0.92,183.6,79.56,0,200.1,0.92,,12/6/17 13:45,11.24
H202010637868     ,2017/12/06 14:00,45.45,19.62,0,49.5,0.92,181.8,78.48,0,198.02,0.92,,12/6/17 14:00,11.05
H202010637868     ,2017/12/06 14:15,45.72,19.8,0,49.82,0.92,182.88,79.2,0,199.29,0.92,,12/6/17 14:15,10.83
H202010637868     ,2017/12/06 14:30,44.19,19.53,0,48.31,0.91,176.76,78.12,0,193.25,0.91,,12/6/17 14:30,12.17
H202010637868     ,2017/12/06 14:45,44.37,19.89,0,48.62,0.91,177.48,79.56,0,194.5,0.91,,12/6/17 14:45,11.46
H202010637868     ,2017/12/06 15:00,46.17,20.61,0,50.56,0.91,184.68,82.44,0,202.25,0.91,,12/6/17 15:00,3.42
H202010637868     ,2017/12/06 15:15,47.25,20.79,0,51.62,0.92,189,83.16,0,206.49,0.92,,12/6/17 15:15,3.56
H202010637868     ,2017/12/06 15:30,47.07,20.7,0,51.42,0.92,188.28,82.8,0,205.68,0.92,,12/6/17 15:30,4.14
H202010637868     ,2017/12/06 15:45,46.17,20.97,0,50.71,0.91,184.68,83.88,0,202.84,0.91,,12/6/17 15:45,8.1
H202010637868     ,2017/12/06 16:00,45.36,20.79,0,49.9,0.91,181.44,83.16,0,199.59,0.91,,12/6/17 16:00,8.76
H202010637868     ,2017/12/06 16:15,45.54,21.15,0,50.21,0.91,182.16,84.6,0,200.85,0.91,,12/6/17 16:15,6.94
