"PVWatts: Hourly PV Performance Data"
"Requested Location:","73-987 Makako Bay Dr, Kailua-Kona"
"Location:","Lat, Lon: 19.73, -156.06"
"Lat (deg N):","19.73"
"Long (deg W):","156.06"
"Elev (m):","0"
"DC System Size (kW):","350"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.425"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","21","1","0","21","0","0"
"1","1","1","0","0","21","1","0","21","0","0"
"1","1","2","0","0","21","1","0","21","0","0"
"1","1","3","0","0","21","1","0","21","0","0"
"1","1","4","0","0","21","1","0","21","0","0"
"1","1","5","0","0","21","1","0","21","0","0"
"1","1","6","0","0","21","1","0","21","0","0"
"1","1","7","75","36","22","0","60.342","21.173","17123.141","15363.618"
"1","1","8","335","109","22","0","287.534","31.817","80702.789","78756.273"
"1","1","9","244","210","23","0","394.966","38.468","110447.617","108259.961"
"1","1","10","281","282","23","0","539.338","44.011","147405.313","144781.594"
"1","1","11","557","242","23","1","780.029","46.896","210247.938","206535.578"
"1","1","12","508","275","23","1","787.638","48.046","211107.625","207377.344"
"1","1","13","444","289","23","2","727.329","42.706","200362.359","196850.234"
"1","1","14","613","180","23","2","704.403","41.959","194250.031","190856.297"
"1","1","15","677","115","22","2","582.041","37.845","162062.797","159224.266"
"1","1","16","504","89","22","2","340.66","31.265","94666.188","92618.672"
"1","1","17","135","35","22","2","77.773","23.496","21120.873","19362.777"
"1","1","18","0","0","21","2","0","21","0","0"
"1","1","19","0","0","21","1","0","21","0","0"
"1","1","20","0","0","21","1","0","21","0","0"
"1","1","21","0","0","21","1","0","21","0","0"
"1","1","22","0","0","21","1","0","21","0","0"
"1","1","23","0","0","21","1","0","21","0","0"
"1","2","0","0","0","21","1","0","21","0","0"
"1","2","1","0","0","21","0","0","21","0","0"
"1","2","2","0","0","21","0","0","21","0","0"
"1","2","3","0","0","21","0","0","21","0","0"
"1","2","4","0","0","21","0","0","21","0","0"
"1","2","5","0","0","21","0","0","21","0","0"
"1","2","6","0","0","21","1","0","21","0","0"
"1","2","7","366","30","21","1","137.493","23.666","35084.965","33317.969"
"1","2","8","699","59","22","1","404.31","33.313","110598.43","108409.297"
"1","2","9","469","168","22","0","505.249","41.991","138270.984","135769.109"
"1","2","10","481","233","22","0","656.116","47.438","176005.609","172940.656"
"1","2","11","867","114","23","0","918.184","57.051","234253.109","230009.5"
"1","2","12","350","335","23","2","696.228","42.315","192264.203","188908.031"
"1","2","13","53","314","23","3","373.056","32.082","108431.68","106263.461"
"1","2","14","55","270","23","4","323.598","29.445","95214.258","93162.328"
"1","2","15","0","156","23","4","152.625","25.644","45758.359","43970.008"
"1","2","16","59","118","22","3","149.712","24.448","44567.023","42781.676"
"1","2","17","0","25","22","3","23.713","21.409","7251.188","5480.564"
"1","2","18","0","0","22","2","0","22","0","0"
"1","2","19","0","0","21","2","0","21","0","0"
"1","2","20","0","0","21","2","0","21","0","0"
"1","2","21","0","0","21","2","0","21","0","0"
"1","2","22","0","0","21","2","0","21","0","0"
"1","2","23","0","0","21","2","0","21","0","0"
"1","3","0","0","0","21","2","0","21","0","0"
"1","3","1","0","0","21","2","0","21","0","0"
"1","3","2","0","0","21","2","0","21","0","0"
"1","3","3","0","0","21","2","0","21","0","0"
"1","3","4","0","0","21","1","0","21","0","0"
"1","3","5","0","0","21","0","0","21","0","0"
"1","3","6","0","0","21","0","0","21","0","0"
"1","3","7","307","32","21","0","124.145","23.721","32078.883","30315.625"
"1","3","8","671","62","22","1","393.521","32.924","107903.828","105740.625"
"1","3","9","815","76","22","1","633.47","41.197","173304.234","170284.813"
"1","3","10","881","85","23","1","811.591","48.137","216617.047","212769.953"
"1","3","11","879","106","23","1","913.562","51.602","240097.656","235715.047"
"1","3","12","885","110","23","3","950.263","45.691","257809.281","252982.344"
"1","3","13","326","323","23","4","649.975","37.522","183841.563","180639.906"
"1","3","14","420","248","23","4","620.99","36.326","176328.469","173258"
"1","3","15","742","96","22","3","605.668","36.277","169886.547","166923.594"
"1","3","16","576","78","22","3","364.386","30.66","101289.805","99186.82"
"1","3","17","225","33","21","2","102.448","23.225","27015.83","25256.609"
"1","3","18","0","0","21","2","0","21","0","0"
"1","3","19","0","0","21","2","0","21","0","0"
"1","3","20","0","0","21","2","0","21","0","0"
"1","3","21","0","0","21","3","0","21","0","0"
"1","3","22","0","0","21","3","0","21","0","0"
"1","3","23","0","0","21","3","0","21","0","0"
"1","4","0","0","0","21","3","0","21","0","0"
"1","4","1","0","0","21","3","0","21","0","0"
"1","4","2","0","0","21","3","0","21","0","0"
"1","4","3","0","0","21","3","0","21","0","0"
"1","4","4","0","0","21","3","0","21","0","0"
"1","4","5","0","0","21","3","0","21","0","0"
"1","4","6","0","0","21","3","0","21","0","0"
"1","4","7","352","30","21","4","133.081","22.722","34126.539","32360.842"
"1","4","8","692","60","22","4","400.266","29.599","111416.07","109218.922"
"1","4","9","825","76","22","3","639.353","36.523","179050.406","175933.141"
"1","4","10","888","85","22","2","816.919","43.529","223333.938","219339.875"
"1","4","11","916","91","23","1","930.096","52.066","243826.953","239353.688"
"1","4","12","298","349","23","0","663.729","50.986","175165.625","172114.906"
"1","4","13","897","96","23","0","917.769","57.08","234096.844","229856.906"
"1","4","14","0","90","23","0","85.619","32.563","24831.979","23073.623"
"1","4","15","0","95","22","1","90.697","23.219","27502.615","25743.131"
"1","4","16","161","122","22","0","206.942","28.961","59570.258","57735.543"
"1","4","17","270","32","22","0","113.831","26.391","29225.668","27465.035"
"1","4","18","0","0","22","1","0","22","0","0"
"1","4","19","0","0","22","2","0","22","0","0"
"1","4","20","0","0","22","2","0","22","0","0"
"1","4","21","0","0","21","3","0","21","0","0"
"1","4","22","0","0","21","4","0","21","0","0"
"1","4","23","0","0","21","5","0","21","0","0"
"1","5","0","0","0","21","5","0","21","0","0"
"1","5","1","0","0","21","5","0","21","0","0"
"1","5","2","0","0","21","5","0","21","0","0"
"1","5","3","0","0","21","5","0","21","0","0"
"1","5","4","0","0","21","5","0","21","0","0"
"1","5","5","0","0","21","5","0","21","0","0"
"1","5","6","0","0","21","5","0","21","0","0"
"1","5","7","287","33","21","4","119.342","22.445","31149.086","29386.783"
"1","5","8","626","72","22","4","383.53","29.211","107269.203","105111.984"
"1","5","9","23","187","22","3","200.051","26.235","59727.617","57892.254"
"1","5","10","824","109","23","1","797.391","46.034","215226.094","211408.813"
"1","5","11","878","107","23","0","914.083","57.631","232455.984","228254.359"
"1","5","12","883","110","23","0","949.589","59.222","239482.609","235114.797"
"1","5","13","357","317","23","0","671.718","51.338","176880.125","173800.25"
"1","5","14","802","115","23","1","786.183","47.586","210491.891","206774.453"
"1","5","15","720","103","23","1","601.71","42.873","163362.5","160503.766"
"1","5","16","563","81","22","1","363.736","34.191","99574.078","97485.93"
"1","5","17","210","36","22","0","102.414","27.498","26740.82","24981.738"
"1","5","18","0","0","22","0","0","22","0","0"
"1","5","19","0","0","22","1","0","22","0","0"
"1","5","20","0","0","22","1","0","22","0","0"
"1","5","21","0","0","22","2","0","22","0","0"
"1","5","22","0","0","22","3","0","22","0","0"
"1","5","23","0","0","22","3","0","22","0","0"
"1","6","0","0","0","22","3","0","22","0","0"
"1","6","1","0","0","22","4","0","22","0","0"
"1","6","2","0","0","22","4","0","22","0","0"
"1","6","3","0","0","21","3","0","21","0","0"
"1","6","4","0","0","21","2","0","21","0","0"
"1","6","5","0","0","21","2","0","21","0","0"
"1","6","6","0","0","21","1","0","21","0","0"
"1","6","7","291","32","21","1","118.978","23.194","30849.197","29087.182"
"1","6","8","648","66","22","1","386.245","32.679","106045.266","103899.477"
"1","6","9","791","83","22","0","623.618","45.7","166701.047","163789.563"
"1","6","10","858","94","23","0","802.415","53.481","208138.141","204469.422"
"1","6","11","882","104","23","2","914.55","47.35","245849.281","241326.203"
"1","6","12","90","356","23","3","454.78","34.502","130637.227","128230.094"
"1","6","13","336","324","23","4","660.913","36.783","187630.625","184360.438"
"1","6","14","789","121","23","4","783.477","39.749","218436.031","214549.641"
"1","6","15","194","216","23","4","359.847","31.052","104461.32","102330.07"
"1","6","16","28","118","22","3","135.003","24.626","40406.938","38630.867"
"1","6","17","155","39","22","2","87.798","23.073","23859.889","22101.748"
"1","6","18","0","0","22","2","0","22","0","0"
"1","6","19","0","0","22","2","0","22","0","0"
"1","6","20","0","0","22","2","0","22","0","0"
"1","6","21","0","0","22","2","0","22","0","0"
"1","6","22","0","0","22","1","0","22","0","0"
"1","6","23","0","0","22","1","0","22","0","0"
"1","7","0","0","0","22","1","0","22","0","0"
"1","7","1","0","0","22","0","0","22","0","0"
"1","7","2","0","0","22","0","0","22","0","0"
"1","7","3","0","0","22","0","0","22","0","0"
"1","7","4","0","0","22","0","0","22","0","0"
"1","7","5","0","0","22","0","0","22","0","0"
"1","7","6","0","0","22","0","0","22","0","0"
"1","7","7","259","33","22","0","111.596","24.966","28936.717","27176.299"
"1","7","8","31","117","22","0","135.285","26.258","40149.32","38373.762"
"1","7","9","774","88","23","0","617.448","44.911","165748.656","162852.359"
"1","7","10","840","101","23","1","800.878","47.78","214182.203","210387.156"
"1","7","11","852","119","23","2","911.127","47.262","245052.484","240549.078"
"1","7","12","850","127","23","3","946.172","45.595","256843.922","252042.094"
"1","7","13","821","133","23","4","900.228","42.716","247913.797","243339.391"
"1","7","14","250","291","23","4","514.176","34.566","147403.031","144779.344"
"1","7","15","17","184","23","4","192.802","26.91","57399.449","55573.422"
"1","7","16","523","91","22","3","357.562","29.479","100505.43","98409.266"
"1","7","17","167","40","22","3","96.308","23.694","26154.063","24395.248"
"1","7","18","0","0","21","2","0","21","0","0"
"1","7","19","0","0","21","2","0","21","0","0"
"1","7","20","0","0","21","1","0","21","0","0"
"1","7","21","0","0","21","1","0","21","0","0"
"1","7","22","0","0","21","0","0","21","0","0"
"1","7","23","0","0","21","0","0","21","0","0"
"1","8","0","0","0","21","0","0","21","0","0"
"1","8","1","0","0","21","0","0","21","0","0"
"1","8","2","0","0","21","1","0","21","0","0"
"1","8","3","0","0","21","1","0","21","0","0"
"1","8","4","0","0","21","2","0","21","0","0"
"1","8","5","0","0","21","2","0","21","0","0"
"1","8","6","0","0","21","1","0","21","0","0"
"1","8","7","298","31","21","1","118.953","23.16","30701.984","28940.105"
"1","8","8","659","64","22","1","387.51","32.717","106238.461","104090.883"
"1","8","9","799","81","22","1","625.487","40.942","171302.203","168316.016"
"1","8","10","859","94","23","2","802.883","44.106","218852.313","214956.875"
"1","8","11","845","121","23","2","907.335","47.175","244146.922","239665.797"
"1","8","12","851","125","23","3","945.551","45.572","256707.734","251909.453"
"1","8","13","830","127","23","3","902.743","44.709","246069.953","241541.406"
"1","8","14","797","117","23","3","788.033","42.049","217177.125","213317.969"
"1","8","15","710","107","23","3","603.351","37.605","168357.563","165419.469"
"1","8","16","555","84","22","2","366.34","32.001","101592.703","99487.078"
"1","8","17","212","38","22","2","105.354","24.327","28007.275","26247.488"
"1","8","18","0","0","22","1","0","22","0","0"
"1","8","19","0","0","22","1","0","22","0","0"
"1","8","20","0","0","22","1","0","22","0","0"
"1","8","21","0","0","22","1","0","22","0","0"
"1","8","22","0","0","21","1","0","21","0","0"
"1","8","23","0","0","21","1","0","21","0","0"
"1","9","0","0","0","21","1","0","21","0","0"
"1","9","1","0","0","21","1","0","21","0","0"
"1","9","2","0","0","21","1","0","21","0","0"
"1","9","3","0","0","21","1","0","21","0","0"
"1","9","4","0","0","21","1","0","21","0","0"
"1","9","5","0","0","21","1","0","21","0","0"
"1","9","6","0","0","21","1","0","21","0","0"
"1","9","7","276","31","22","1","113.109","24.042","29197.15","27436.539"
"1","9","8","633","66","22","1","377.022","32.371","103589.172","101465.805"
"1","9","9","771","85","23","1","611.105","41.452","166953.172","164037.656"
"1","9","10","828","102","23","1","792.065","47.51","212127.469","208375.813"
"1","9","11","841","118","23","2","900.685","46.983","242603.469","238160.109"
"1","9","12","821","136","23","3","930.45","45.222","253073.5","248368.766"
"1","9","13","775","151","23","4","884.52","42.362","244051.094","239572.313"
"1","9","14","752","134","23","4","774.669","39.997","215777.344","211948.266"
"1","9","15","637","130","23","4","581.202","35.733","163874.031","161007.281"
"1","9","16","463","103","22","3","341.778","30.071","96195.711","94135.813"
"1","9","17","143","43","22","3","89.688","23.495","24607.818","22849.521"
"1","9","18","0","0","21","2","0","21","0","0"
"1","9","19","0","0","21","2","0","21","0","0"
"1","9","20","0","0","21","2","0","21","0","0"
"1","9","21","0","0","21","2","0","21","0","0"
"1","9","22","0","0","21","2","0","21","0","0"
"1","9","23","0","0","21","2","0","21","0","0"
"1","10","0","0","0","21","2","0","21","0","0"
"1","10","1","0","0","21","2","0","21","0","0"
"1","10","2","0","0","21","1","0","21","0","0"
"1","10","3","0","0","21","1","0","21","0","0"
"1","10","4","0","0","21","1","0","21","0","0"
"1","10","5","0","0","21","1","0","21","0","0"
"1","10","6","0","0","21","1","0","21","0","0"
"1","10","7","303","30","21","1","118.375","23.107","30425.02","28663.393"
"1","10","8","657","64","22","1","385.122","32.642","105555.156","103413.891"
"1","10","9","795","81","22","1","621.878","40.828","170392.5","167421.281"
"1","10","10","859","93","23","1","801.585","47.816","214310.438","210512.656"
"1","10","11","863","114","23","2","916.328","47.391","246289.031","241755.063"
"1","10","12","864","120","23","3","953.535","45.77","258614.797","253766.828"
"1","10","13","837","125","23","4","908.944","42.909","250080.266","245451.5"
"1","10","14","789","122","23","4","789.497","40.353","219503.016","215593.391"
"1","10","15","702","111","22","4","604.963","35.273","170860.078","167881.188"
"1","10","16","548","88","22","4","369.294","29.893","103640.859","101517.031"
"1","10","17","207","41","22","3","107.601","23.995","28825.963","27065.625"
"1","10","18","0","0","21","2","0","21","0","0"
"1","10","19","0","0","21","2","0","21","0","0"
"1","10","20","0","0","21","1","0","21","0","0"
"1","10","21","0","0","21","1","0","21","0","0"
"1","10","22","0","0","21","0","0","21","0","0"
"1","10","23","0","0","21","0","0","21","0","0"
"1","11","0","0","0","21","0","0","21","0","0"
"1","11","1","0","0","21","0","0","21","0","0"
"1","11","2","0","0","21","1","0","21","0","0"
"1","11","3","0","0","21","0","0","21","0","0"
"1","11","4","0","0","21","0","0","21","0","0"
"1","11","5","0","0","21","0","0","21","0","0"
"1","11","6","0","0","21","0","0","21","0","0"
"1","11","7","272","31","21","0","111.397","24.169","28718.809","26958.549"
"1","11","8","628","68","21","0","375.611","34.506","102108.766","99998.594"
"1","11","9","770","87","22","0","611.788","45.262","163887.094","161020.141"
"1","11","10","834","101","22","1","795.643","46.666","214028.938","210237.125"
"1","11","11","885","100","23","1","914.433","51.565","240385.219","235995.672"
"1","11","12","890","105","23","2","954.926","48.644","255114.031","250356.953"
"1","11","13","876","105","23","3","916.466","45.035","249396.422","244784.875"
"1","11","14","813","113","23","3","800.442","42.359","220284.688","216357.969"
"1","11","15","724","105","23","3","614.196","37.881","171224.328","168239.438"
"1","11","16","567","85","22","3","376.197","30.956","104999.563","102863.398"
"1","11","17","227","41","22","3","112.691","24.134","29991.705","28230.457"
"1","11","18","0","0","22","2","0","22","0","0"
"1","11","19","0","0","21","1","0","21","0","0"
"1","11","20","0","0","21","0","0","21","0","0"
"1","11","21","0","0","21","0","0","21","0","0"
"1","11","22","0","0","21","0","0","21","0","0"
"1","11","23","0","0","21","1","0","21","0","0"
"1","12","0","0","0","21","2","0","21","0","0"
"1","12","1","0","0","21","2","0","21","0","0"
"1","12","2","0","0","21","2","0","21","0","0"
"1","12","3","0","0","21","2","0","21","0","0"
"1","12","4","0","0","21","1","0","21","0","0"
"1","12","5","0","0","21","1","0","21","0","0"
"1","12","6","0","0","21","1","0","21","0","0"
"1","12","7","303","29","21","2","116.518","22.755","29892.619","28131.455"
"1","12","8","663","60","22","2","380.678","30.829","105087.094","102950.133"
"1","12","9","808","74","22","2","621.588","37.868","172811.688","169800.5"
"1","12","10","876","82","22","3","802.842","40.759","222604.344","218626.484"
"1","12","11","907","88","23","3","921.225","44.796","250972","246320.703"
"1","12","12","911","93","23","3","962.006","45.968","260642.969","255741.734"
"1","12","13","897","95","23","3","925.508","45.251","251576.594","246909.984"
"1","12","14","811","113","23","3","800.106","42.372","220192.406","216267.719"
"1","12","15","187","225","23","3","366.352","32.179","105849.563","103705.578"
"1","12","16","217","128","22","3","247.577","27.319","71721.906","69828.945"
"1","12","17","0","3","22","3","2.835","21.158","867.909","0"
"1","12","18","0","0","22","3","0","22","0","0"
"1","12","19","0","0","22","3","0","22","0","0"
"1","12","20","0","0","21","3","0","21","0","0"
