,smp,smp_for_calc,ess_uniform,revenue_uniform,ess_opt,revenue_opt
2020-01-01 01:00:00,88.95,0.0,0,0.0,3.0269509664224476e-07,2.6924728846327674e-05
2020-01-01 02:00:00,129.25,0.0,0,0.0,3.0269509664224476e-07,3.912334124101014e-05
2020-01-01 03:00:00,88.95,0.0,0,0.0,3.0269509664224476e-07,2.6924728846327674e-05
2020-01-01 04:00:00,88.95,0.0,0,0.0,3.0269509664224476e-07,2.6924728846327674e-05
2020-01-01 05:00:00,88.95,0.0,0,0.0,3.0269509664224476e-07,2.6924728846327674e-05
2020-01-01 06:00:00,88.95,0.0,0,0.0,3.0269509664224476e-07,2.6924728846327674e-05
2020-01-01 07:00:00,125.94,0.0,0,0.0,3.0269509664224476e-07,3.8121420471124305e-05
2020-01-01 08:00:00,88.95,0.0,0,0.0,3.0269509664224476e-07,2.6924728846327674e-05
2020-01-01 09:00:00,133.4,0.0,0,0.0,3.0269509664224476e-07,4.037952589207545e-05
2020-01-01 10:00:00,87.8,0.0,0,0.0,3.0269509664224476e-07,2.657662948518909e-05
2020-01-01 11:00:00,87.47,0.0,0,0.0,3.0269509664224476e-07,2.6476740103297148e-05
2020-01-01 12:00:00,84.89,0.0,0,0.0,3.0269509664224476e-07,2.5695786753960158e-05
2020-01-01 13:00:00,87.36,0.0,0,0.0,3.0269509664224476e-07,2.6443443642666502e-05
2020-01-01 14:00:00,86.13,0.0,0,0.0,3.0269509664224476e-07,2.607112867379654e-05
2020-01-01 15:00:00,88.89,0.0,0,0.0,3.0269509664224476e-07,2.6906567140529136e-05
2020-01-01 16:00:00,89.42,0.0,0,0.0,3.0269509664224476e-07,2.7066995541749527e-05
2020-01-01 17:00:00,125.86,125.86,500,62930.0,1.8128588848195456e-07,2.28166419243388e-05
2020-01-01 18:00:00,154.95,154.95,500,77475.0,499.9999418091175,77474.99098332276
2020-01-01 19:00:00,152.63,152.63,500,76315.0,499.9999434162529,76314.99136362268
2020-01-01 20:00:00,129.8,129.8,500,64900.00000000001,499.9999354751966,64899.99162468052
2020-01-01 21:00:00,128.26,128.26,0,0.0,499.99993642954985,64129.99184645406
