기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2021/03/04,135.18,112.69,112.84,112.84,110.65,112.37,109.71,113,110.34,211.18,206.88,198.99,138.81,183.53,182.02,195.07,195.07,203.71,208.37,204.07,194.59,136.01,185.94,193.15,211.18,109.71,163.28
2021/03/03,128.47,147.3,138.53,138.15,138.15,112.94,140.2,112.47,111.37,111.53,88.43,88.27,88.27,88.27,88.27,106.37,113.9,186.57,209.19,208.83,206.68,187.74,197.35,190.14,209.19,88.27,141.03
2021/03/02,109.08,88.28,87.6,86.92,89.09,88.93,88.93,89.09,89.09,89.09,89.09,88.93,83.19,84.38,88.04,88.04,88.92,88.92,113.43,113.9,147.96,114.22,157.65,210.3,210.3,83.19,104.82
2021/03/01,89.32,109.34,88.1,87.34,89.32,89.32,117.5,121.58,120.95,89.16,89.16,89,84.65,89,112.55,89,117.26,117.88,119.92,153.49,117.57,117.26,114.12,112.08,153.49,84.65,106.59
2021/02/28,102.29,80.98,80.98,80.66,80.98,100.01,103.15,104.44,102.29,80.84,80.84,78.56,65.54,65.54,80.66,78.82,101.53,105.82,200.9,203.65,134.59,101.67,136.38,105.67,203.65,65.54,105.59
2021/02/27,80.75,80.75,80.75,80.75,80.75,80.75,80.75,115.19,80.75,79.98,79.98,79.89,70.51,70.45,68.87,80.22,83.15,104.26,196.1,202.12,199.54,124.32,106.4,196.61,202.12,68.87,108.93
2021/02/26,81.31,81.31,80.06,79.97,80.06,80.06,82.12,82.12,82.12,82.12,82.12,81.98,74.72,75.63,80.59,80.59,80.59,80.59,82.23,82.23,82.23,82.23,82.23,82.23,82.23,74.72,81.07
2021/02/25,103.15,81.63,80.05,78.21,79.7,81.63,81.63,100.73,81.49,80.32,80.32,80.32,80.32,80.32,80.32,80.32,80.32,81.82,81.82,114.93,81.82,81.82,81.82,81.82,114.93,78.21,84.52
2021/02/24,104.9,99.19,81.04,79.28,81.04,100.19,103.9,103.62,139.33,79.98,77.67,77.36,75.15,77.41,80.57,80.57,81.53,105.4,107.4,153.43,107.4,102.4,106.25,105.54,153.43,75.15,97.79
2021/02/23,81.56,81.42,81.42,78.94,79.55,81.56,81.56,81.56,81.42,79.35,77.53,76.65,74.44,77.41,77.41,80.52,81.34,100.21,155.97,140.59,136.69,104.35,106.06,105.77,155.97,74.44,93.46
