기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2021/03/12,81.69,81.52,80.13,80.03,80.14,81.86,82.45,83.9,87.45,87.45,87.36,87.26,84.77,86.46,86.45,86.45,86.45,84.7,84.2,84.24,83.5,83.5,82.42,85.55,87.45,80.03,84.39
2021/03/11,83.04,82.54,81.38,81.45,82.54,82.47,84.88,87.57,87.28,87.19,86.89,84.73,81.18,82.55,83.97,83.97,84.95,84.95,84.96,84.96,84.54,83.71,83.25,83.71,87.57,81.18,84.21
2021/03/10,83.03,81.39,82.54,81.37,82.54,84.95,84.95,85.19,86.62,85.21,85.57,86.11,81.63,82.44,83.43,83.98,85.14,85.15,85.15,85.15,84.93,84.53,83.55,84.24,86.62,81.37,84.19
2021/03/09,83.02,81.34,81.34,81.26,81.34,82.54,84.96,85.19,85.6,85.6,85.57,85.56,82.44,84.12,84.42,84.63,86.27,85.01,86.27,84.98,84.15,83.5,82.49,82.49,86.27,81.26,84.02
2021/03/08,82.54,80.01,78.95,78.95,79.45,82.69,82.69,87.48,87.61,87.61,87.34,87.38,84.17,84.56,84.56,85.48,87.18,87.18,87.61,87.61,86.4,84.58,84.28,84.8,87.61,78.95,84.96
2021/03/07,83.97,83.95,83.93,80.59,82.23,82.16,82.13,82.23,82.07,79.3,80.36,81.74,78.23,78.1,78.58,78.69,81.74,81.43,81.74,81.74,81.74,81.74,81.62,81.74,83.97,78.1,81.38
2021/03/06,84.05,84.51,84.14,82.74,82.74,83.63,83.58,83.53,83.48,83.43,83.43,81.92,81.92,81.92,81.92,81.92,83.12,84.22,84.25,84.25,84.21,83.36,83.46,83.62,84.51,81.92,83.32
2021/03/05,82.29,81.3,82.54,80.35,80.42,82.54,82.54,85.02,87.58,87.48,87.19,86.9,83.86,84.53,85.23,85.23,85.23,84.64,84.05,84.03,83.7,83.3,83.35,83.46,87.58,80.35,84.16
2021/03/04,82.54,82.21,82.54,80.01,82.44,81.94,83.2,83.96,86.38,87.02,87.02,87.01,86.52,87.79,87.79,87.62,87.79,86.17,85.28,84.23,84.03,83.78,83.58,83.79,87.79,80.01,84.98
2021/03/03,83.94,81.74,81.75,81.75,82.29,81.75,84.94,85.55,86.5,86.5,86.5,86.5,82.3,84.4,85.61,86.54,86.54,86.54,86.54,85.06,84.81,84.02,83.44,83.85,86.54,81.74,84.68
2021/03/02,79.71,79.27,78.95,78.94,79.45,80.28,82.19,84.22,85.57,85.57,85.57,85.56,83.19,84.38,84.38,85.58,85.58,85.58,85.6,85.03,84.75,83.88,83.67,84.03,85.6,78.94,83.61
2021/03/01,81.26,81.26,78.76,72.96,79.17,79.71,79.74,80.06,81.12,81.57,81.47,81.37,79.53,81.26,81.26,81.41,81.41,81.41,82.48,83,83,82.92,83,82.03,83,72.96,80.99
2021/02/28,74.94,74.62,74.16,69.32,71.05,72.12,72.12,72.12,72.03,65.54,65.54,65.54,65.54,65.54,65.54,65.54,68.59,71.97,73.87,73.87,73.06,72.87,73.81,73.87,74.94,65.54,70.72
2021/02/27,74.64,74.64,74.11,72.43,72.43,72.44,73.35,73.87,73.86,73.86,73.83,73.35,70.51,70.45,68.87,71.51,73.35,73.47,74.01,74.01,73.78,73.57,73.98,74.01,74.64,68.87,73.13
2021/02/26,74.7,73.26,72.69,72.37,72.83,73.21,76.39,77.76,81.09,82.12,82.12,78.09,74.72,75.63,75.63,77.22,77.22,77.22,77.15,76.65,75.07,73.18,73.2,74.65,82.12,72.37,76.17
2021/02/25,73.55,72.4,72.29,71.55,72.28,73.76,75.1,76.89,78.22,78.22,78.22,77.3,75.25,77.28,77.28,77.28,77.28,77.06,76.71,75.25,74.11,73.28,73.14,75.1,78.22,71.55,75.53
2021/02/24,73.59,72.61,73.4,71.62,75.06,72.85,73.71,78.28,79.78,79.35,77.67,77.36,75.15,77.41,78.25,78.13,78.96,78.14,76.92,76.92,75.1,74.45,74.51,75.1,79.78,71.62,76.17
2021/02/23,73.59,72.71,72.46,71.62,72.26,73.1,76.81,77.64,79.78,79.35,77.53,76.65,74.44,77.41,77.41,78.15,78.5,78.17,77.81,77.57,75.17,73.79,73.8,75.22,79.78,71.62,76.04
2021/02/22,74.65,73.21,71.8,71.76,72.02,74.65,74.62,80.53,81.89,81.89,80.34,80.31,75.15,76.94,76.94,78.96,80.3,80.3,80.48,80.48,76.97,76.51,75.16,76.97,81.89,71.76,77.54
2021/02/21,79.45,71.5,71.44,71.11,71.48,72.21,74.68,74.68,74.68,73.7,69.38,69.03,66.46,66.46,68.41,72.42,73.83,73.77,74.68,74.68,73.89,73.5,73.84,74.46,79.45,66.46,72.62
2021/02/20,76.17,75.25,73.82,73.82,73.82,75.25,74.83,76.93,80.27,76.79,79.25,74.41,73.81,73.81,73.78,74.8,74.25,74.39,74.8,74.8,74.8,74.5,74.5,75.08,80.27,73.78,75.19
2021/02/19,76.55,74.79,74.39,74.4,74.4,75.1,76.33,80.17,80.48,80.48,80.46,80.46,78.24,79.28,80.31,80.31,80.31,80.31,78.31,78.2,76.92,76.2,74.95,76.94,80.48,74.39,78.02
2021/02/18,76.35,75.79,74.36,74.33,74.36,76.15,80.91,81.33,83.93,83.79,81.23,81.23,79.3,79.3,81.41,80.24,81.33,80.52,80.52,80.52,77.56,76.15,75.48,77.36,83.93,74.33,79.11
2021/02/17,76.8,74.22,73.56,73.56,75.33,73.62,76.35,81,81.06,81.06,81.06,80.26,79.07,79.07,79.07,79.63,80.4,80.4,80.4,80.27,77.13,75.99,75.99,77.56,81.06,73.56,78.26
2021/02/16,75.95,74.35,74.35,74.35,74.35,75.1,78.02,80.35,80.44,80.44,80.34,80.44,77.52,79.08,79.08,79.44,79.44,79.44,79.44,78.97,77.32,76.19,76.02,76.7,80.44,74.35,77.94
2021/02/15,75.7,73.55,68.64,68.64,69.08,75.1,73.21,75.1,77.84,77.84,77.84,77.83,75.12,76.94,77.34,77.83,77.98,77.98,78,76.96,76.86,75.39,75.39,75.39,78,68.64,75.79
2021/02/14,75.2,74.44,68.34,67.65,68.34,70.39,70.39,70.39,73.31,69.2,69.68,68.34,67.65,68.34,68.34,68.34,69.54,71.34,73.15,73.07,72.66,73.15,75,75,75.2,67.65,70.99
2021/02/13,75.81,74.61,74.64,69.35,69.35,70.09,70.09,70.09,69.56,66.46,66.46,66.46,66.46,66.46,66.46,66.46,69.24,71.32,73.09,73.09,74.12,73.85,74.2,74.28,75.81,66.46,70.62
2021/02/12,76.27,75.52,68.97,67.72,68.21,69.89,70.11,70.73,69.65,53.48,47.43,46.81,46.81,46.81,46.81,47.43,56.88,66.9,69.97,69.97,71.22,73.37,76.97,77.61,77.61,46.81,64.78
2021/02/11,74.55,74.55,73.77,71.45,71.46,71.46,71.46,71.46,70.68,68.95,68.95,68.95,66.63,65.54,65.54,66.63,69.06,71.05,72.64,72.56,72.58,73.72,74.13,74.63,74.63,65.54,71.08
