날짜,발전기코드,발전기명,충전/방전,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
10/1/2020,6243,청명5호태양광,방전,0 ,0 ,0 ,0 ,0 ,0 ,"7,200 ","187,200 ","616,800 ","1,144,800 ","91,200 ","48,000 ","38,400 ","79,200 ","763,200 ","768,000 ","468,000 ","81,600 ","1,130,400 ","1,173,600 ","1,176,000 ","1,178,400 ","811,200 ","24,000 ","9,787,200 "
10/2/2020,6243,청명5호태양광,방전,0 ,0 ,0 ,0 ,0 ,0 ,"4,800 ","117,600 ","696,000 ","876,000 ","79,200 ","57,600 ","74,400 ","45,600 ","31,200 ","16,800 ","21,600 ","2,400 ","1,128,000 ","1,176,000 ","1,176,000 ","1,152,000 ","170,400 ","7,200 ","6,832,800 "
10/3/2020,6243,청명5호태양광,방전,"4,800 ","7,200 ","4,800 ",0 ,0 ,0 ,0 ,0 ,"24,000 ","14,400 ","19,200 ","26,400 ","48,000 ","36,000 ","31,200 ","28,800 ","129,600 ","55,200 ","1,130,400 ","1,176,000 ","1,176,000 ","420,000 ","7,200 ","7,200 ","4,346,400 "
10/4/2020,6243,청명5호태양광,방전,"7,200 ","7,200 ",0 ,0 ,0 ,0 ,"2,400 ","55,200 ","240,000 ","372,000 ","48,000 ","79,200 ","67,200 ","50,400 ","38,400 ","33,600 ","242,400 ","48,000 ","1,128,000 ","1,176,000 ","1,176,000 ","1,176,000 ","470,400 ","7,200 ","6,424,800 "
10/5/2020,6243,청명5호태양광,방전,"7,200 ","7,200 ","7,200 ",0 ,0 ,0 ,0 ,"201,600 ","885,600 ","1,418,400 ","98,400 ","134,400 ","172,800 ","837,600 ","1,656,000 ","1,255,200 ","662,400 ","127,200 ","1,130,400 ","1,176,000 ","1,176,000 ","1,173,600 ","739,200 ","14,400 ","12,880,800 "
10/6/2020,6243,청명5호태양광,방전,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"182,400 ","914,400 ","1,437,600 ","98,400 ","124,800 ","160,800 ","1,197,600 ","1,540,800 ","1,255,200 ","696,000 ","129,600 ","1,130,400 ","1,176,000 ","1,173,600 ","1,176,000 ","823,200 ","24,000 ","13,240,800 "
10/7/2020,6243,청명5호태양광,방전,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"165,600 ","912,000 ","1,344,000 ","108,000 ","43,200 ","48,000 ","55,200 ","784,800 ","736,800 ","386,400 ","64,800 ","1,128,000 ","1,173,600 ","1,176,000 ","1,176,000 ","801,600 ","21,600 ","10,125,600 "
10/8/2020,6243,청명5호태양광,방전,"7,200 ","4,800 ","7,200 ","4,800 ",0 ,0 ,"2,400 ","148,800 ","883,200 ","1,387,200 ","98,400 ","98,400 ","132,000 ","981,600 ","1,622,400 ","1,216,800 ","664,800 ","117,600 ","1,130,400 ","1,176,000 ","1,176,000 ","1,176,000 ","734,400 ","14,400 ","12,784,800 "
10/9/2020,6243,청명5호태양광,방전,"7,200 ","7,200 ","7,200 ","2,400 ",0 ,0 ,"2,400 ","148,800 ","854,400 ","1,351,200 ","100,800 ","96,000 ","91,200 ","772,800 ","1,605,600 ","1,204,800 ","650,400 ","110,400 ","1,128,000 ","1,176,000 ","1,176,000 ","1,176,000 ","744,000 ","14,400 ","12,427,200 "
10/10/2020,6243,청명5호태양광,방전,"2,400 ",0 ,0 ,0 ,0 ,0 ,"2,400 ","127,200 ","849,600 ","1,365,600 ","100,800 ","38,400 ","124,800 ","88,800 ","38,400 ","616,800 ","388,800 ","57,600 ","1,128,000 ","1,173,600 ","1,176,000 ","1,176,000 ","806,400 ","19,200 ","9,280,800 "
